U,RF
0.0,0.0
4.1e-05,-5.903104845365022e-39
8.2e-05,-5.205232113007312e-39
0.000123,-9.304419952446019e-40
0.000164,3.89720531560538e-39
0.000205,6.253649627224895e-39
0.000246,3.1148307472962164e-39
0.000287,-7.771272108622622e-39
0.000328,-1.8542454396105155e-38
0.000369,-1.4226046657438155e-38
0.00041,1.9198490815767086e-38
0.000451,6.362250886288539e-38
0.000492,6.448161432765786e-38
0.000533,-3.42349665983627e-38
0.000574,-2.1134104034548827e-37
0.000615,-2.8760163757301234e-37
0.000656,-6.443582749017975e-38
0.000697,5.560991560624903e-37
0.000738,1.0638228972375819e-36
0.000779,7.212889531240256e-37
0.00082,-1.136744469320766e-36
0.000861,-3.5032894435962494e-36
0.000902,-3.6977492253173853e-36
0.000943,1.027883412319043e-36
0.000984,1.0259708640224549e-35
0.001025,1.5121599946286246e-35
0.001066,5.336746931332637e-36
0.001107,-2.5635262886442945e-35
0.001148,-5.414453544629904e-35
0.001189,-4.193167381201534e-35
0.00123,4.72877570031993e-35
0.001271,1.734539079172071e-34
0.001312,1.996652178307211e-34
0.001353,-1.7211858224662955e-35
0.001394,-4.9128678260809375e-34
0.001435,-7.864689681361896e-34
0.001476,-3.6853480439918813e-34
0.0015170000000000001,1.1629533897686256e-33
0.001558,2.7378248247656806e-33
0.001599,2.3758376461719354e-33
0.00164,-1.8658064289462925e-33
0.001681,-8.52680701482982e-33
0.001722,-1.0663313730199698e-32
0.001763,-8.345023556529049e-34
0.001804,2.3282146070914808e-32
0.001845,4.0603940704630016e-32
0.001886,2.336186572709395e-32
0.0019270000000000001,-5.166869213226137e-32
0.001968,-1.3751664135306434e-31
0.002009,-1.320315463331726e-31
0.00205,6.744694393642686e-32
0.002091,4.158874287562723e-31
0.002132,5.640223181089529e-31
0.002173,1.2507228740603403e-31
0.002214,-1.0901394684257029e-30
0.002255,-2.0816052505859492e-30
0.002296,-1.406584911180343e-30
0.002337,2.2345025269976985e-30
0.002378,6.860246711046464e-30
0.002419,7.224185734939154e-30
0.00246,-2.049575381122592e-30
0.002501,-2.0112423275412988e-29
0.002542,-2.957585495258278e-29
0.0025830000000000002,-1.0334638350488585e-29
0.002624,5.0332488979547324e-29
0.002665,1.0599160883251797e-28
0.002706,8.1789333542364e-29
0.002747,-9.317781904700709e-29
0.002788,-3.398372904652449e-28
0.002829,-3.902055426711526e-28
0.00287,3.572350751320844e-29
0.002911,9.635879964937635e-28
0.002952,1.5386304307670205e-27
0.002993,7.157530149169368e-28
0.0030340000000000002,-2.285208549070047e-27
0.003075,-5.360842710048284e-27
0.003116,-4.636514600736653e-27
0.003157,3.685782788138277e-27
0.003198,1.6711608459659838e-26
0.003239,2.0844552824041403e-26
0.00328,1.5280909992184461e-27
0.003321,-4.568942548225038e-26
0.003362,-7.945491047001287e-26
0.003403,-4.5443112216489265e-26
0.003444,1.0164490837918493e-25
0.0034850000000000003,2.6934776850464897e-25
0.003526,2.5776435589295094e-25
0.003567,-1.3386227513581938e-25
0.003608,-8.154428068587388e-25
0.003649,-1.1028298252931904e-24
0.00369,-2.3936381611038406e-25
0.003731,2.1408173338646697e-24
0.003772,4.074475000334516e-24
0.003813,2.7390777682730316e-24
0.0038540000000000002,-4.402316284446343e-24
0.003895,-1.344136897455087e-23
0.003936,-1.4109178722775854e-23
0.003977,4.1094889321765775e-24
0.004018,3.9453565172618555e-23
0.004059,5.784589452741565e-23
0.0041,1.99547405551019e-23
0.004141,-9.89200836337765e-23
0.004182,-2.07524270633385e-22
0.004223,-1.5940723059375274e-22
0.004264,1.8393873267050542e-22
0.004305,6.660847202499888e-22
0.004346,7.623753382516733e-22
0.004387,-7.49498615378348e-23
0.004428,-1.8911935607948854e-21
0.004469,-3.010218673478015e-21
0.00451,-1.3875315641452755e-21
0.004551,4.495215332602581e-21
0.004592,1.0499364757047462e-20
0.004633,9.043521685101264e-21
0.004674,-7.295645274781776e-21
0.0047150000000000004,-3.276624953996087e-20
0.004756,-4.0741836791047036e-20
0.004797,-2.746284170601771e-21
0.004838,8.971447283432299e-20
0.004879,1.554936852756466e-19
0.00492,8.831826724468509e-20
0.004961,-2.001188777786314e-19
0.005002,-5.276579736054722e-19
0.005043,-5.030997270814943e-19
0.005084,2.6611178628291385e-19
0.005125,1.5993237331919683e-18
