U,RF
0.0,0.0
2.4e-05,-3.1562846732029923e-39
4.8e-05,-4.005371043299083e-39
7.2e-05,-3.187430059569425e-39
9.6e-05,-1.3426326712951774e-39
0.00012,8.88850172242499e-40
0.000144,2.8668475217624566e-39
0.00016800000000000002,3.951188427983536e-39
0.000192,3.501701941624576e-39
0.000216,8.78217113404429e-40
0.00024,-4.2414590097575207e-39
0.000264,-9.767774421082818e-39
0.000288,-1.2505605956841555e-38
0.000312,-9.25406561084605e-39
0.00033600000000000004,3.170942300837229e-39
0.00036,2.3782093914739326e-38
0.000384,4.1965208370520586e-38
0.000408,4.57524670800857e-38
0.000432,2.3176051455339332e-38
0.000456,-3.6398716626401586e-38
0.00048,-1.1675879617904897e-37
0.000504,-1.7680575495788064e-37
0.000528,-1.7450119471152977e-37
0.000552,-6.780671718862989e-38
0.000576,1.7587122724413237e-37
0.0006000000000000001,4.761153299387529e-37
0.000624,6.780420788774635e-37
0.000648,6.254550422654725e-37
0.0006720000000000001,1.6215778830798407e-37
0.000696,-8.067816490137409e-37
0.00072,-1.9121419201143634e-36
0.000744,-2.5721325999038954e-36
0.000768,-2.2038594852567626e-36
0.0007920000000000001,-2.244283730473742e-37
0.000816,3.583225305099158e-36
0.00084,7.611499521338783e-36
0.000864,9.685032962862875e-36
0.000888,7.628282990590051e-36
0.000912,-7.338981406596342e-37
0.000936,-1.5527219784233036e-35
0.00096,-3.0051509721086037e-35
0.000984,-3.6187270542999497e-35
0.001008,-2.581500484175447e-35
0.001032,9.136573323427666e-36
0.001056,6.597646526797578e-35
0.00108,1.1773008237183758e-34
0.001104,1.340946117627257e-34
0.001128,8.476724056835167e-35
0.001152,-5.969015870734975e-35
0.001176,-2.758540279132263e-34
0.0012000000000000001,-4.57796342906606e-34
0.001224,-4.924250163741973e-34
0.001248,-2.6664796100271485e-34
0.0012720000000000001,3.236297358561798e-34
0.001296,1.1377578103585982e-33
0.00132,1.767287403428882e-33
0.0013440000000000001,1.7901500824407055e-33
0.001368,7.842774147677491e-34
0.001392,-1.6003935266871087e-33
0.001416,-4.637748645131968e-33
0.00144,-6.773863707829973e-33
0.001464,-6.433556865233941e-33
0.001488,-2.04164626779676e-33
0.001512,7.483619994066759e-33
0.001536,1.8708615628988557e-32
0.00156,2.577778066402036e-32
0.0015840000000000001,2.2812456133593115e-32
0.001608,3.933983072137859e-33
0.001632,-3.3684704929070057e-32
0.0016560000000000001,-7.47657388917077e-32
0.00168,-9.737988349075039e-32
0.001704,-7.958768471346942e-32
0.001728,5.5030971673089745e-34
0.001752,1.474281229220397e-31
0.001776,2.9622960713742292e-31
0.0018,3.6507560527753376e-31
0.001824,2.7208696025702298e-31
0.001848,-6.444043570073278e-32
0.001872,-6.3138160325436765e-31
0.0018960000000000001,-1.1643151345393946e-30
0.00192,-1.3576642714024683e-30
0.001944,-9.058522556902598e-31
0.001968,4.917285274790448e-31
0.001992,2.6569714219611944e-30
0.002016,4.5415881918434414e-30
0.00204,5.0051509914763395e-30
0.002064,2.9072319752105543e-30
0.002088,-2.8310627637880204e-30
0.002112,-1.101886625726995e-29
0.002136,-1.7585714441714846e-29
0.00216,-1.8275472692683566e-29
0.002184,-8.83200638573657e-30
0.002208,1.4461101257163073e-29
0.002232,4.5129258215592534e-29
0.002256,6.760719165362448e-29
0.00228,6.601087745097625e-29
0.002304,2.4456291487365028e-29
0.002328,-6.902695708203906e-29
0.002352,-1.8281841622991563e-28
0.002376,-2.580534863495613e-28
0.0024000000000000002,-2.354514044376143e-28
0.002424,-5.573140749071948e-29
0.002448,3.152314067656485e-28
0.0024720000000000002,7.334087959372357e-28
0.002496,9.778639096963733e-28
0.00252,8.273558542827814e-28
0.0025440000000000003,6.064373593616183e-29
0.002568,-1.3947681415111097e-27
0.002592,-2.916161369570986e-27
0.0026160000000000003,-3.6778727837566356e-27
0.00264,-2.854214944054351e-27
0.002664,3.801266802520705e-28
